net,ref,pin,signal,x_mm,y_mm
+3V3,C1,1,,72.0,10.0
+3V3,C2,1,,58.0,10.0
+3V3,C3,1,,58.0,14.5
+3V3,C4,1,,49.0,53.0
+3V3,J3,5,XIAO 3V3,77.04,21.28
+3V3,J4,6,SD 3V3,55.35,22.0
+3V3,J5,2,LID 3V3,60.54,53.0
+3V3,JP1,2,,10.54,13.0
BAT+,J12,1,,6.0,6.0
BAT+,J13,1,,13.0,6.0
BAT+,SW2,2,,22.54,6.0
BAT_SW,J14,1,,30.0,6.0
BAT_SW,SW2,1,,20.0,6.0
BTN,J3,14,XIAO D0,82.12,36.52
BTN,J5,5,LID BTN,68.16,53.0
BTN,SW1,1,,74.75,42.25
GND,C1,2,,74.54,10.0
GND,C2,2,,60.54,10.0
GND,C3,2,,60.54,14.5
GND,C4,2,,51.54,53.0
GND,J1,2,RAK J6 GND,8.59,23.25
GND,J10,4,RAK GND,23.62,13.0
GND,J11,4,XIAO GND,79.62,53.0
GND,J12,2,,8.54,6.0
GND,J13,2,,15.0,6.0
GND,J14,2,,32.54,6.0
GND,J2,2,RAK J7 GND,26.0,23.25
GND,J3,6,XIAO GND,79.58,21.28
GND,J4,1,SD GND,42.65,22.0
GND,J5,1,LID GND,58.0,53.0
GND,SW1,2,,81.25,42.25
OLED_SCL,J3,9,XIAO D5,69.42,36.52
OLED_SCL,J5,3,LID SCL,63.08,53.0
OLED_SDA,J3,10,XIAO D4,71.96,36.52
OLED_SDA,J5,4,LID SDA,65.62,53.0
RAK_BOOT,J10,1,RAK BOOT,16.0,13.0
RAK_BOOT,J2,1,RAK J7 BOOT,23.46,23.25
RAK_RX0,J2,4,RAK J7 RX0,31.08,23.25
RAK_RX0,J3,8,XIAO D6,66.88,36.52
RAK_SCL,J1,3,RAK J6 SCL,11.13,23.25
RAK_SCL,J10,2,RAK rSCL,18.54,13.0
RAK_SDA,J1,4,RAK J6 SDA,13.67,23.25
RAK_SDA,J10,3,RAK rSDA,21.08,13.0
RAK_TX0,J2,3,RAK J7 TX0,28.54,23.25
RAK_TX0,J3,1,XIAO D7,66.88,21.28
RAW_3V3,J1,1,RAK J6 VDD,6.05,23.25
RAW_3V3,JP1,1,,8.0,13.0
SD_CLK,J3,2,XIAO D8,69.42,21.28
SD_CLK,J4,3,SD CLK,47.73,22.0
SD_CS,J3,11,XIAO D3,74.5,36.52
SD_CS,J4,5,SD CS,52.81,22.0
SD_MISO,J3,3,XIAO D9,71.96,21.28
SD_MISO,J4,2,SD MISO,45.19,22.0
SD_MOSI,J3,4,XIAO D10,74.5,21.28
SD_MOSI,J4,4,SD MOSI,50.27,22.0
XIAO_5V,J11,1,XIAO 5V,72.0,53.0
XIAO_5V,J3,7,XIAO 5V,82.12,21.28
XIAO_D1,J11,2,XIAO D1,74.54,53.0
XIAO_D1,J3,13,XIAO D1,79.58,36.52
XIAO_D2,J11,3,XIAO D2,77.08,53.0
XIAO_D2,J3,12,XIAO D2,77.04,36.52
(none),SW1,3,,74.75,46.75
(none),SW1,4,,81.25,46.75
(none),SW2,3,,25.08,6.0
